Model      , Time (s), Initial Constraints, Final Constraints, % Reduction
iBWG_1329  ,    47.02,                5482,               815,        85.1
e_coli_core,     0.29,                 190,                36,        81.1
iML1515    ,    51.6 ,                5424,               799,        85.3
iSB619     ,     4.41,                1486,               114,        92.3
iEC1344_C  ,    50.82,                5452,               763,        86.0
iHN637     ,     4.71,                1570,               121,        92.3
iAT_PLT_636,     9.81,                2016,               593,        70.6
iLJ478     ,     3.73,                1304,                94,        92.8
Recon3D    ,  1279.78,               21200,             11195,        47.2
iYL1228    ,    28.37,                4524,               565,        87.5
iJO1366    ,    46.92,                5166,               743,        85.6
RECON1     ,   116.4 ,                7482,              2120,        71.7
iJR904     ,     8.37,                2150,               291,        86.5
iJN746     ,     7.21,                2108,               224,        89.4
iAB_RBC_283,     2.07,                 938,               186,        80.2
iJN678     ,     5.63,                1726,               124,        92.8
iNF517     ,     4.87,                1508,               197,        86.9
iSDY_1059  ,    40.77,                5078,               677,        86.7
iAF1260    ,    33.08,                4764,               671,        85.9
