Polytope, Dimension, Method                  , Time_Sec, Points, ESS , Mixing_Ratio, Max_PSRF, KS_Stat, KS_P_Value
Cube    ,       100, AcceleratedBilliardWalk ,   0.6121,   8820, 3728,       2.3659,   1.0019, 0.0257 , 0.6010
Cube    ,       100, BCDHRWalk               ,   0.4466,   6300, 3130,     402.5559,   1.0019, 0.0318 , 0.5404
Cube    ,       100, BRDHRWalk               ,  55.4456,  64512, 4203,    3069.8073,   1.0029, 0.0191 , 0.4070
Cube    ,       100, BallWalk                , 101.0828,  89600, 3077,    5823.8544,   1.0021, 0.0368 , 0.0298
Cube    ,       100, BilliardShakeAndBakeWalk,  17.7673,   6250, 5061,     246.9868,   1.0016, 1.0000 , 0.0000
Cube    ,       100, BilliardWalk            ,   1.2096,  10290, 3985,       2.5822,   1.0026, 0.0263 , 0.4682
Cube    ,       100, CDHRWalk                ,   0.5819,   8400, 3987,     421.3695,   1.0016, 0.0264 , 0.5955
Cube    ,       100, CDHRWalk                ,   0.4476,   6480, 3005,     431.2812,   1.0026, 0.0432 , 0.1744
Cube    ,       100, GaussianBallWalk        ,  63.3619,  43740, 3965,    2206.3052,   1.0015, -1.0000, -1.0000
Cube    ,       100, GaussianCDHRWalk        ,   0.4065,   5488, 3137,     349.8884,   1.0015, -1.0000, -1.0000
Cube    ,       100, RDHRWalk                ,  49.0819,  57344, 3834,    2991.3406,   1.0017, 0.0198 , 0.3938
Cube    ,       100, ShakeAndBakeWalk        ,  45.5056,  30000, 3894,    1540.8320,   1.0024, 1.0000 , 0.0000
Cube    ,       100, SparseBilliardWalk      ,   7.5025,   7168, 4333,       1.6543,   1.0013, 0.0276 , 0.6393
