Polytope, Dimension, Method                  , Time_Sec, Points, ESS , Mixing_Ratio, Max_PSRF, KS_Stat, KS_P_Value
Cube    ,        10, AcceleratedBilliardWalk ,   0.0152,   5020, 2255,       2.2262,   1.0014, 0.0418 , 0.3375
Cube    ,        10, BCDHRWalk               ,   0.0117,   5020, 2247,      44.6818,   1.0011, 0.0729 , 0.0090
Cube    ,        10, BRDHRWalk               ,   0.0497,   5020, 2243,      44.7615,   1.0012, 0.0332 , 0.6316
Cube    ,        10, BallWalk                ,   0.0233,   5020, 1405,      71.4591,   1.0007, 0.0435 , 0.2922
Cube    ,        10, BilliardShakeAndBakeWalk,   0.2343,   5020, 4540,      22.1145,   1.0016, 1.0000 , 0.0000
Cube    ,        10, BilliardWalk            ,   0.0103,   5020, 2165,       2.3187,   1.0013, 0.0445 , 0.2679
Cube    ,        10, CDHRWalk                ,   0.0115,   5020, 2638,      38.0591,   1.0007, 0.0292 , 0.7810
Cube    ,        10, CRHMCWalk               ,   0.2419,   5020,  405,      12.3951,   1.0187, 0.0485 , 0.6957
Cube    ,        10, DikinWalk               ,   1.0594,   5020,  159,     631.4465,   1.0272, 0.1394 , 0.0781
Cube    ,        10, GaussianBallWalk        ,   0.0170,   5020, 1988,      50.5030,   1.0017, -1.0000, -1.0000
Cube    ,        10, GaussianCDHRWalk        ,   0.0094,   5020, 3316,      30.2774,   1.0014, -1.0000, -1.0000
Cube    ,        10, JohnWalk                ,   7.3722,   5020,  115,     873.0435,   1.0604, 0.1590 , 0.0911
Cube    ,        10, RDHRWalk                ,   0.0311,   5020, 2130,      47.1362,   1.0008, 0.0412 , 0.3555
Cube    ,        10, ShakeAndBakeWalk        ,   0.0457,   5020, 3773,      26.6101,   1.0006, 1.0000 , 0.0000
Cube    ,        10, SparseBilliardWalk      ,   0.0166,   5020, 3064,       1.6384,   1.0013, 0.0489 , 0.1755
Cube    ,        10, VaidyaWalk              ,   1.4966,   5020,  102,     984.3137,   1.0319, 0.1384 , 0.2526
